id,code,grade,subject,strand,cluster,description,dateadopted,status,sourceurl,clarifications,glossaryterms,purposeandstrategies,misconceptions,tieredinstruction,instructionaltasks,instructionalitems,horizontalalignment,verticalalignment,previousbenchmarks,nextbenchmarks,relatedcourses,accesspoints,resourcelinks,materials
15232,MA.K.NSO.1.1,K,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding for counting using objects in a set.,"Given a group of up to 20 objects, count the number of objects in that group and represent the number of objects with a written numeral. State the number of objects in a rearrangement of that group without recounting.",,State Board Approved,,"Clarification 1: Instruction focuses on developing an understanding of cardinality and one-to-one correspondence. | Clarification 2: Instruction includes counting objects and pictures presented in a line, rectangular array, circle or scattered arrangement. Objects presented in a scattered arrangement are limited to 10. | Clarification 3: Within this benchmark, the expectation is not to write the number in word form.",,,"Students may inaccurately report the number of objects in a set that has been rearranged even though the number was accurately counted before the set was rearranged (i.e., conservation of cardinality). | Students may recount the number of objects in a set that has been rearranged even though the number was accurately counted before the set was rearranged. | Students may recount a group of objects when asked “how many,” rather than reporting the last number counted. | Students may not be systematic in their counting. For example, a student may double count or skip numbers. | For example, a student may double count or skip numbers.",,,,,,,,,,,
15233,MA.K.NSO.1.2,K,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding for counting using objects in a set.,"Given a number from 0 to 20, count out that many objects.",,State Board Approved,,Clarification 1: Instruction includes giving a number verbally or with a written numeral.,,,"Students may skip or repeat numbers when counting out objects. For example, a student may say ""14, 15, 17."" | For example, a student may say ""14, 15, 17."" | Students may lose track of which objects have been counted.",,,,,,,,,,,
15234,MA.K.NSO.1.3,K,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding for counting using objects in a set.,"Identify positions of objects within a sequence using the words &ldquo;first,&rdquo; &ldquo;second,&rdquo; &ldquo;third,&rdquo; &ldquo;fourth&rdquo; or &ldquo;fifth.&rdquo;",,State Board Approved,,Clarification 1: Instruction includes the understanding that rearranging a group of objects does not change the total number of objects but may change the order of an object in that group.,,,"Students may not be able to connect the positional terms (first, second, etc.) to the object’s position after rearrangement. For example, a set from left to rights shows an elephant, pig and dolphin. When rearranged the students still identifies the dolphin as “third” regardless of sequence. | For example, a set from left to rights shows an elephant, pig and dolphin. When rearranged the students still identifies the dolphin as “third” regardless of sequence. | Students may give similar objects the same order number especially if they are next to each other in the sequence.",,,,,,,,,,,
15235,MA.K.NSO.1.4,K,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding for counting using objects in a set.,"Compare the number of objects from 0 to 20 in two groups using the terms less than, equal to or greater than.",,State Board Approved,,"Clarification 1: Instruction focuses on matching, counting and the connection to addition and subtraction. | Clarification 2: Within this benchmark, the expectation is not to use the relational symbols =,> or <.",,,Students may confuse the size of objects with the number of objects when comparing.,,,,,,,,,,,
15236,MA.K.NSO.2.1,K,Mathematics (B.E.S.T.),Number Sense and Operations,Recite number names sequentially within 100 and develop an understanding for place value.,"Recite the number names to 100 by ones and by tens. Starting at a given number, count forward within 100 and backward within 20.",,State Board Approved,,"Clarification 1: When counting forward by ones, students are to say the number names in the standard order and understand that each successive number refers to a quantity that is one larger. When counting backward, students are to understand that each succeeding number in the count sequence refers to a quantity that is one less. | Clarification 2: Within this benchmark, the expectation is to recognize and count to 100 by the end of Kindergarten.",,,"Students may have difficulty moving from one group of tens to the next. For example, knowing that 30 comes after 29. Students may have to recount by tens to determine the next ten when counting through to 100. | For example, knowing that 30 comes after 29. Students may have to recount by tens to determine the next ten when counting through to 100. | Students may be confused by the different pattern of word names for the “teens.”",,,,,,,,,,,
15237,MA.K.NSO.2.2,K,Mathematics (B.E.S.T.),Number Sense and Operations,Recite number names sequentially within 100 and develop an understanding for place value.,"Represent whole numbers from 10 to 20, using a unit of ten and a group of ones, with objects, drawings and expressions or equations.",,State Board Approved,,,,,"Students may attach too much meaning to certain number names. Example: sixteen linguistically makes sense as six and teen, or six and ten; while eleven and twelve do not have linguistic cues. | Students may think there is only one way to represent numbers with tens and ones.",,,,,,,,,,,
15238,MA.K.NSO.2.3,K,Mathematics (B.E.S.T.),Number Sense and Operations,Recite number names sequentially within 100 and develop an understanding for place value.,"Locate, order and compare numbers from 0 to 20 using the number line and terms less than, equal to or greater than.",,State Board Approved,,"Clarification 1: Within this benchmark, the expectation is not to use the relational symbols =,> or <. | Clarification 2: When comparing numbers from 0 to 20, both numbers are plotted on the same number line. | Clarification 3: When locating numbers on the number line, the expectation includes filling in a missing number by counting from left to right on the number line.",,,"Students may assume that all number lines start at 0 or 1. | When looking at number lines with tick marks, students may number the spaces between the tick marks instead of the tick marks.",,,,,,,,,,,
15239,MA.K.NSO.3.1,K,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding of addition and subtraction operations with one-digit whole numbers.,"Explore addition of two whole numbers from 0 to 10, and related subtraction facts.",,State Board Approved,,"Clarification 1: Instruction includes objects, fingers, drawings, number lines and equations. | Clarification 2: Instruction focuses on the connection that addition is “putting together” or “counting on” and that subtraction is “taking apart” or “taking from.” Refer to Situations Involving Operations with Numbers (Appendix A). | Clarification 3: Within this benchmark, it is the expectation that one problem can be represented in multiple ways and understanding how the different representations are related to each other.",,,"Students may confuse addition situations with subtraction situations based on “cue” or “key” words. For example, in the word problem “Steve has 7 crayons. Steve has 3 more crayons than Joane. How many crayons does Joane have?” the word “more” may make students think to add, though the context is actually subtraction. | For example, in the word problem “Steve has 7 crayons. Steve has 3 more crayons than Joane. How many crayons does Joane have?” the word “more” may make students think to add, though the context is actually subtraction. | Students may think there is only one correct way of solving a problem. Many problems can be solved by using addition or subtraction. | After mastering one addition or subtraction situation students may feel that there are no others to learn.",,,,,,,,,,,
15240,MA.K.NSO.3.2,K,Mathematics (B.E.S.T.),Number Sense and Operations,Develop an understanding of addition and subtraction operations with one-digit whole numbers.,Add two one-digit whole numbers with sums from 0 to 10 and subtract using related facts with procedural reliability.,,State Board Approved,,Clarification 1: Instruction focuses on helping a student choose a method they can use reliably.,,,"Students may not see the value in counting on (and becoming more efficient) when determining the number of objects in two sets that have been combined. | When using the count on strategy, students may always start with the first number rather than the larger number.",,,,,,,,,,,
15241,MA.K.AR.1.1,K,Mathematics (B.E.S.T.),Algebraic Reasoning,Represent and solve addition problems with sums between 0 and 10 and subtraction problems using related facts.,"For any number from 1 to 9, find the number that makes 10 when added to the given number.",,State Board Approved,,"Clarification 1: Instruction includes creating a ten using manipulatives, number lines, models and drawings.",,,Students may not connect pairs of addends through the commutative property.,,,,,,,,,,,
